source,target,weight,PMID
Tp53,Bcl2,-1,10037739;10329733;10744634;10953306;11193470;11313951;11713302;11782367;14684736;15326476;15767042;16294215;16738310;17592775;17693666;18397889;18487508;18682598;19137013;19411072;19521340;19555669;19714248;20428827;20501806;20530667;20840522;21656028;21666495;21859835;22266868;22869582;23638218;24098340;24155778;24814047;8174112;8183578;8205530;9000137;9649502
Phox2a,Dbh,1,10037744;10644760;11034547;11948255;12609984;14512028;16280598;21241805;9341190;9763470;9798905
Stat4,Il12b,1,10037767;12893768
Stat4,Irf1,1,10037767;10068671;10358173
Irf1,Irf1,1,10037767;10321737;10358173;11238639;12493643;1431317;14656743;15467738;15560761;15659847;1614874;17016442;18079498;18497060;18694960;20435892;20825659;21219575;22002246;7507207;7678055;8015552;8885869;8990383;9307237
Atf2,Il6,1,10037779;20086235
Wt1,Odc1,1,10047468;8604351
Nr2c2,Ccnd1,1,10048449
Tfap2a,Ccl2,1,10049733
Fos,Fos,-1,10050039;10082538;10319324;10381381;10891373;11145955;11389180;11557580;11701448;11850800;11950097;12137955;12506135;12510024;12658630;1431315;15123357;16242410;1668889;16785536;17182846;1722028;1822246;18502516;18557893;18725523;18757399;1900040;1903195;1915270;19196971;1922053;1944274;19581295;20682780;2104799;2110922;2119495;21655091;21692876;21914770;21920361;23562910;24220339;2498646;2498806;2511006;2513130;2850250;3355549;7857636;7935406;7942278;8031467;8114761;8230424;8348687;8468462;8589450;8593588;8681975;8793851;8810350;8816505;8846788;8874187;8890955;8939609;8970980;9000503;9019156;9159206;9368758;9413158;9452499;9515031;9813041;9822695;9858538
Hnf1a,Igf1,1,10050749;11544200;12031966;15933209;17210751;7836361;8584026;8943227
Stat5a,Igf1,1,10050749;14532269;15677453;17509524;18276757;19920132;20372799;20378540;21651786;23071812
Ets1,Timp1,1,10051488;8557686
Etv4,Timp1,1,10051488;10692475;1420363
Cebpb,Adra1d,1,10051504;10796884;10871045;11058951;11481261;16431954
Arnt,Cyp1b1,1,10051545;12376470;12801909;16115918;19255421;19287966;19376845;21742528;24299737
