source,target,weight,PMID
Dlx4,Theg,1,10421838
Zbtb12,Theg,1,10421838
Dlx4,Fn1,1,10421838;9671487
Fos,Fn1,1,10421838;14611684;24342046
Jun,Fn1,1,10325245;10421838;11052809;11896591;21479385;23744703;24342046;9756884
Myc,Fn1,-1,10421838;11896591;14519204;8376401
Zbtb12,Fn1,1,10421838;7565693;9671487
Pparg,Fabp4,1,10425206;10935488;11574398;16854242;17322100;20160124;20656057;21047783;23805908;8943212;9831621
Pdx1,Prkcg,1,10426567
Pdx1,Psma5,1,10426567
Stat5a,Bcl2l1,1,10428030;10428780;10435632;10727459;10964754;10979976;11731240;11756417;12946994;15545372;15626738;16214938;19339209;20585448
Sp1,Lep,1,10428494;11162472;12760745;16011026;16931573;17496155;18559540;19408304;23254958
Stat5a,Osm,1,10428780;10556323;21457934;8605875
Egr1,Mmp14,1,10428849;12093818;12118097;14979875;17158885;18277865;18568943;19326468
Esr1,Spp1,1,10428965;11522780;12761896;18234909;9869301
Esr2,Spp1,1,10428965;17562975
Myrf,Col5a2,1,10429946
Pparg,Cd36,1,10432118;11595817;11795270;11867619;14752028;15104237;16407258;16556603;16959872;17322100;18072748;18242221;18948972;20950277;25721714
Pou2f2,Tgfa,1,10433239;11036938
Pdx1,Gfap,1,10433248
Stat5a,Ptgs2,1,10433370;16585602;21617857;9551919
Ssrp1,Hes1,1,10433920
Ssrp1,Hes5,1,10433920
Ssrp1,Notch3,1,10433920
Cebpb,Il6,-1,10435001;10748205;10816606;10903137;11004486;11035101;11114305;11120852;11160296;11250916;11594800;11866474;12177065;12706815;12853840;1327803;1421375;1427600;14530280;14600152;15044620;15389813;15613028;15688424;16784777;1730090;17332680;17955490;18955501;19026986;19632992;19782405;20511231;21069809;2112087;21127061;22074460;22558159;22895549;23361365;23595969;23874122;24012417;24472318;25382637;7543095;7651415;7744000;7744784;7818522;7821611;8234276;8325885;8336793;8346247;8441418;8725624;8752656;8786324;8910763;9182853;9199508;9282937;9312180;9378980;9442386;9516466;9523851;9648065;9661072
Pax5,Cd79a,1,10435576;11779502;12446773;12612069;14500810;15361869;18641300;19616560;8804314;9545244;9743352
Pax5,Rag2,1,10435576;11074256;11094072;11781241;12044781;12244173
Pax5,Ebf1,1,17101802
Ebf1,Pax5,1,10435576;12477815;16464566
Tp53,Crebbp,1,10435595;10435630;10777477;10833421;11390631;11466559;11709699;11779500;11928223;12164786;12501250;15632413;17434128;19057620;19448667;19880525;21191649;21513889;22198284;24330748;9890939;9891054
Crebbp,Tp53,1,15154850
Ets1,Parp1,1,10435618;11973649;24448423
Tp53,Ache,1,10435630;10514438;17209038;20935676;22243239;2936901;7823921;9288775;9525640;9649502
Tp53,Aqp1,1,10435630;12716906
Tp73,Aqp1,1,10435630
Tp73,Crebbp,1,10435630;10648616;11172610
Tp73,Gadd45a,1,10435630
Pou2f1,H2-Ea,-1,10437913;11533238;15105429;16827100;19280058
Pou2f1,P04224,-1,10437913;11533238;15105429;16827100;19280058
Ets1,Mgat5,1,10438459;10571019;10646865;10749681;8900148
Jun,Mgat5,1,10438459
Nfya,Cdk1,-1,10438472;10514438
Cebpg,Cd14,1,10438498
Cebpb,Prg2,1,10438731
Gata1,Prg2,1,10438731;12202480;9558404
Gata1,Mbp,1,10438731;9558404
Zfpm1,Mbp,1,10438731
Cebpg,Mbp,1,10438731;12202480
Cebpb,Mbp,1,10438731
Pdx1,Gcg,1,10440129;12193567;12716747;12783165;14550306;17263687;19245309;19785038;20531294;21824254;23331010;23434589;9637677
Pdx1,Pik3c3,1,10440129;10585868
Cebpb,Hsp90aa1,1,10440232;9880553
Stat3,Hsp90aa1,1,10440232;23228483;9880553
Hsf1,Hsp90aa1,1,10440232;15706094;17965413;19818013;20045681;20668218;21932106;9880553
Hsf1,Hspa4,1,10440232;12007842;12064483;12782657;12805380;12813038;14673132;1508207;15777846;16447264;16554822;18197143;18451878;18657505;19818013;20566634;21078672;21932106;22797943;22940245;23264262;23349863;23542779;23733891;25024384;25053922;7553870;8035809;8078944;8114740;8455624;9276725;9482883;9499401;9665826;9738016;9880553
Stat3,Hspa4,1,10440232;19754877;22069317;25088258;9880553
Apex1,Apex1,1,10441516;11809897;12773568;14599768;15788231;18208837;20185827;20332233;23871947;7750534
Cebpb,Hp,1,10445852;11027530;11316061;11331273;14661730;16172914;20155810;21917825
Cebpb,Mapk1,1,10445852
Stat3,Hp,1,10445852;11331273;12153141;17645497;20155810;21224490;9169415
Tead2,Tp53,1,10446138
Hif1a,Tfrc,1,10446187;10446188;10518614;13679021;16510596;18519569;23160040
Myc,Hspa4,1,10446203;14519204;1534087;1562593
Sp1,Psen1,1,10446206
Nr0b1,Nr0b1,1,10446902;10848616;11427738;12606353;16206264;16314306;18591936;9232190
Nr5a1,Nr0b1,1,10446902;11990799;16439455;16857744;19188450;7677767;9121493;9232190;9658405
Nr0b1,Nr5a1,-1,10446902;10965053;11384875;11796523;11990799;15879363;20943815
Esr1,Tnfrsf11a,1,10446910;12697671;24507928
Sp1,Slc25a5,1,10393330;10446910;10449239;10657244;11683873;8702555
Sp1,Tnfrsf11a,1,10446910
Esr1,E2f1,1,10446910;12697671;20215421;22791811
Sp1,E2f1,1,10446910;12697671;18440323;9054613
Sp3,Cyp11a1,1,10446912
Tfap2a,Cyp11a1,1,10446912;17213386
Sp1,Spi1,1,10446912;12706891;22734486
Spi1,Sp1,1,12706891;22734486
Sp3,Spi1,1,10446912;24219545
Spi1,Sp3,1,24219545
Spi1,Cyp11a1,1,10446912
Stat3,Hsp90ab1,1,10447736
Znf281,Odc1,1,10448078
Znf148,Odc1,1,10448078;9685330
Znf148,Gast,1,10448078;15613302;8943318;9144414;9268691
Tp53,Kras,1,10448271;10953306;11514734;14741382;16061648;18555006;19107228;20124454;8274455
Tfam,Slc25a5,1,10449239
Sp1,Plat,1,10452548;18419748;21437359;2172788;9851700
Sp3,Plat,1,10452548;21437359
Spi1,Csf2rb2,1,10453008
Spi1,Csf2rb,1,10453008
Irf4,Il1b,1,10453013;11359842;12676954;16439360;18566416
Irf8,Il1b,1,10453013;11359842;17386941;18566416
Spi1,Il1b,1,10328874;10453013;10490619;10801783;11359842;11823535;12061786;16439360;17283046;17386941;18173740;18566416;19423615;7609733;7799967;9360994;9376596
Irf2,Ifng,1,10454342;10859338;12479817;18281489
Sp1,Nfkbia,1,10454561
Ar,Dnm1l,1,10454563;21724752
Ar,Src,1,10454563;17079466;17108144;18687691;19305643
Ncoa1,Msh6,1,10454563;11747826;14966289
Ncoa1,Psmd4,1,10454563
Ncoa2,Dnm1l,1,10454563
Ncoa2,Msh6,1,10454563;11747826;14662770
Ncoa2,Psmd4,1,10454563
Ncoa2,Src,1,10454563;19305643
Sp1,Reck,1,10454749;14614450;15093608;16377629;17828469;22781396
Runx1,Blk,1,10455134;14970218
Pax5,Blk,1,10455134;10553071;14594818;18697940;8195169;8759736;9660839
Srebf2,Ldlr,1,10455139;11149418;11234460;12149270;12177166;15358760;15486308;16697011;17448444;18413311;19808779;20855588;20936497;21123766;22153697;22593575;24770487
Foxa1,Afp,1,10455192;14521963
Nr4a2,Th,1,10457011;10800925;10924322;11299318;12694388;14559918;16252282;16723737;17038671;17184956;17681692;17890097;18784308;20533997;21922608;22066143;22514272;23240065;23977047
Spi1,Th,1,10457011
Sp1,Mbp,1,10457364;12773549;15523643;15695521;17403142;19145069;20882567
Nr0b2,Syk,1,10458769
Nr0b2,Il2,1,10458769;11021818;15170389
Pgr,Igfbp1,1,10459849;11117526;12489992;15987820;9178756
Nr5a1,Cyp11a1,1,10459866;11057754;11325530;11328860;11427738;11463852;11932209;12101186;12145340;12530663;15026180;15289436;15471945;21520051;22199361;23358192;23530236;7479914;8026494;9013760;9029712;9314578
Hnf1a,Ugt1a1,1,10462540;16399341;18172616;19541828;20096102;9052741
Mga,Mga,1,10464209;17905980;23980109
Nfkb1,Ccnd1,1,10409765;10464245;11861406;12894581;15756023;15856023;16453001;17008396;17098279;17407600;17673602;17944672;18184402;18341653;18566231;19263436;19766095;20103608;20538607;22306268
Rela,Ccnd1,1,10409765;10464245;11861406;12894581;15755876;15756023;15856023;15870875;16453001;16998474;17098279;17407600;17673602;17944672;18174238;18184402;18226221;18341653;18566231;19263436;19766095;19800042;20103608;20538607;20922712;21056029;22306268;22835384
Cebpd,Il1b,1,10464291;10838190;10841183;11278956;15694370
Cebpb,Il1b,1,10383163;10464291;10801783;10838190;10841183;10956548;11035101;11278846;11801594;12072435;12355443;12468538;12759449;15383601;15812237;16399630;16439360;16569740;16867259;17283046;17386941;19806478;20702408;2112087;21917825;22074460;22260630;9372929;9376596
Esr2,Fshb,1,10465306
Tp53,Bag1,-1,10467399;15031599
Rela,Plau,1,10467400;11689575;17407600;18226221;19165610;20018891;20352621;22797919;9914486
Myc,Myc,-1,10467407;10606235;10625678;10657901;10672043;10681589;10684947;10835425;10931834;10945639;11009078;11085504;11114727;11180404;11306700;11389443;11511535;11593411;11777933;11799123;11916966;12353235;12628347;12747840;12757710;12821782;12832487;12880944;1321271;14506152;14519204;14523011;14716294;15067010;15073177;15250723;15286719;15530864;15576399;15665468;15735755;15866886;15988031;16091746;16107691;16204065;16357214;1637556;16382048;16428936;16596619;16636146;16706751;16998799;17093053;17132729;17341548;17360752;17519021;17595061;17699159;1774959;17974960;17993259;17996313;18037408;18059365;18070418;18218627;18393360;18490439;18542060;18806825;18818322;1896473;18978814;18983830;18987311;19002957;19033198;1915867;19219071;19385599;19435876;19497851;19581307;19609274;19729955;19846662;2005901;20133699;20412594;20454512;20566697;20581311;20682043;21505052;21533051;21573608;21607323;2182320;2184192;21908617;21933022;22084162;22182413;22207128;22210745;22286234;22315222;22384171;22880082;22904298;23135913;2320412;23716601;23792448;23874874;24038073;24567369;25043018;2542967;2657574;2668846;2903801;3127392;3308495;3540591;3856253;6096815;7700652;7731690;7860774;7895500;7925100;8076602;8076603;8160706;8164678;8274141;8352803;8385351;8502472;8524267;8637719;8649389;8701093;9090124;9119229;9196053;9294616;9489489;9596659;9674700;9774645;9872993
Rel,Ccl12,1,10469356;10614622;11716760;12218154;16325549;20038977;9388261
Rela,Ccl12,1,10469356;10530453;10614622;10636866;10644332;10744656;10987310;11006087;11716760;11949945;12218154;12488502;12540607;12647268;12682245;14631383;14976218;15223809;15950427;16040075;16166627;16206198;16325549;16730843;16764699;16818736;16829531;17452470;17507908;17537731;17932106;18226221;18353872;19371341;19738286;20038977;20195282;20200316;20952659;21106671;21138578;22189654;22189669;22723832;23198981;23583295;24063814;24260304;24337575;24550391;24634218;25108845;27076634;8617886;8630731;9174597;9388261;9916692
Tp53,Mdm4,1,10469568;16492744;17510313;18172009;18336191;19521340;20036872;20080970;20372076;21394211;21422812;21750655;22290440;23474762;9926934
Tp73,Mdm4,1,10469568
Wt1,Mycn,-1,10470095
Ahr,Ctsd,1,10471301;11165043;16489053;7786196;8524236
Arnt,Ctsd,1,10471301;9611253
Stat5a,Stat5a,1,10471471;12683938;12819296;15963857;16819511;17922009;19339209;19417088;21964595;23262295;23729680;9773981
Creb1,Jun,-1,10403485;10471787;2140898;8647095
Cebpg,Pck1,1,10471825;11092886;11453665;11997389;12560325;1281456;1328227;2147222;7639710;7935427;8626491;9078282
Ddit3,Hspa4,1,10472808
Fos,Hspa5,1,10472808;11719466
Pgr,Igfbp5,1,10473602
Cebpg,Star,1,10473624
Ppara,Edn1,-1,10473669;11007963;12193105;12524223;17105827
Atf2,Ep300,1,10475063
Gata4,Ankrd1,1,10477291;12384280;22532871
Nkx2-5,Ankrd1,1,10477291;9043061
Nfatc2,Xcl1,1,10477599
Lhx3,Esr1,1,10478837
Nr5a1,Scarb1,1,10478838;10579331;9407090
Nfic,Ar,1,10478840
Tp53,Il2,-1,10479400;11129286;12471108;8877730
Fos,Ccnd2,1,10479451
Pax3,Tyrp1,1,10480898
Pax3,Fn1,1,10480898
Pax3,Mitf,1,10480898;10644012;10942418;10982026;11237412;11830592;19026785;19074888;19403660;20925909;21519923;21965087;22290434;9500554
Mitf,Pax3,1,22290434
Ctcf,9530003J23Rik,1,10480923;10940558
Ctcf,Lyz2,1,10480923;10940558
Ctcf,Lyz1,1,10480923;10940558
Rela,Tnf,1,10079106;10201927;10485496;10551799;10553096;10748079;10754326;10837498;10963848;11007957;11094063;11259437;11290773;11297551;11312646;11490006;11739517;11749970;11827962;12058956;12117498;12471036;12610112;12628924;12657243;12686724;14749357;14960579;14976218;15013838;15064230;15081318;15465827;15470505;15543947;15812247;15857826;16040075;16199883;16285952;16433741;16483936;16569682;16707469;16850160;16916598;17082635;17085785;17142966;17268554;17292554;17350185;17351769;17390058;17407192;17442180;17496784;17607667;17707233;18057724;18077329;18285351;18362169;18467438;18719026;18772140;19285436;19385047;19530226;19846753;19854828;20066113;20097764;20139176;20195282;20221401;20221720;20237317;20534538;20544543;20547752;20617556;20686703;20696864;20722069;20817730;21098092;21108432;21138578;21537341;21573233;21765477;22021035;22138107;22388040;22661093;22718766;22723832;22742857;22798670;22901690;23042817;23178569;23195252;23335080;23857586;23971673;24012417;24908318;25161822;25690886;25888873;26004152;26023919;26114754;26408955;26516703;26596471;26997758;27075886;27338466;27534992;28039105;7624137;7876168;7895918;8219230;8622636;8679226;8805669;9129150;9281604;9742085;9831247;9916692;9916895
Nfkb1,Tnf,1,10079106;10201927;10485496;10551799;10553096;10748079;10754326;10837498;10919279;10963848;11094063;11259437;11297551;11312646;11490006;11675405;11739517;11749970;12058956;12117498;12471036;12657243;12686724;12907458;14960579;14976218;15013838;15465827;15543947;15743782;15749903;15812247;16040075;16055086;1618817;16285952;16433741;16483936;16569682;16707469;16916598;17082635;17085785;17292554;1740105;17407192;17442180;17513725;17646159;17704137;17707233;18057724;18285351;18990758;20066113;20237317;20617556;20722069;21138578;22782967;24337575;26114754;7624137;7876168;7895918;8219230;8530146;8622636;8679226;8805669;9281604;9452482;9742085;9916895
Stat5a,Il7r,1,10485656;17664008;18042802
Wt1,Areg,1,10490105;14736876;19416806
Dbp,Cyp2a4,1,10490589
Nfic,Cyp1a1,-1,10490621;11093759;11239493
Bcl6,Il4,1,10490661;11374866;12097386;9110977
Bcl6,Stat6,1,10490661
Stat6,Bcl6,1,23852366
Rb1,E2f1,-1,11939591;12460790;1534305;21602887;8575214;9326598;9400991;9671466
E2f1,Rb1,1,10490838;11268000;11533237;11818069;14627987;14681231;15016799;15618023;15985428;16081466;16188218;16230367;16601104;16738312;18583990;8264596
Sp1,Lhcgr,1,10491299;12972613;16943418;8756564
Sp3,Lhcgr,1,10491299;12972613
Hnf1b,Ins2,1,10491332;17210751
Hnf4a,Ins2,1,10491332;10720084;11994285;14612449;18555664;19252740
Rest,Gria2,-1,10491605;10792430;16262660;21948504;9712644
Hoxd3,Plau,1,10495851;10648567;11477555;14610084
Sp1,Pdlim7,1,10497114
Sp3,Pdlim7,1,10497114
Irf9,Ifnl2,1,10497156
Irf9,Ifnl3,1,10497156
Nr2f2,Pklr,-1,10497199
Usf1,Pklr,1,10497199;10976753;12087089;12177166;7755551;7852331;8246989;8314745
Junb,Il6,-1,10497240;11337499;12070012;19918056;20221401;7836389;8537375
Stat3,Junb,1,10497240;17204573;9325164
Sp1,Ccnd1,1,10497251;10850422;10908361;11024050;11410592;12794082;15870300;15922873;16267018;17617380;19755513;19850937;20435036;22334592;22415074;22734486;22911796;9236224;9407106;9584162;9637785
Tfap2a,Mxi1,1,10497252
Esr1,Tfap2a,1,19458056
Tfap2a,Esr1,1,10497269;19458056;9850080
Esr1,Tfap2c,1,14565844;18414489;20034404
Tfap2c,Esr1,1,10497269;11278455;17875680;19458056;20629094;24413532;24639548;7891714;9113991
Irf1,Slpi,-1,10498899
Pax8,Tnf,1,10499522
Pax8,Tg,1,10499522;10698164;10807057;10871399;11069301;11145590;11325833;11453662;11463576;11786384;1508216;15718293;16179407;16613988;17614769;18437010;19010321;21833035;7635972;7737192;8813721;8869595;9288908;9396634;9845675;9882622
Nkx2-1,Tg,1,10499522;10807057;11149600;11463576;1448106;15181011;16179407;16507635;16627577;1732732;17980011;21637535;9845675
Nkx2-1,Tnf,1,10499522
Wt1,Igf1r,-1,10499530;11001824;11896622;12444079;15345673;16698800;7497000;7791758;8390684;9076342
Pdx1,Pdx1,1,10499550;10537169;11181516;11457885;11590182;12525833;12684063;15121856;16630561;17150967;17259388;17403901;18538137;20448145;20802254;20811152;21081123;21108535;21652712;21779870;21821004;22669743;23331010;24290880;24371999;9252422
Esr1,Ccnd1,1,10500157;11358796;11410592;11477579;11844790;11986316;12554765;12808053;12929585;14764652;15026472;15178330;15217513;15282324;15496458;15808510;16809759;16860316;16980581;17166846;17681750;17914104;17998543;18245487;18414489;18997820;19858209;20821348;21505052;22266855;22396492;22521644;22892083;22948256;23108396;23864650;23891847;9832502
Pbx1,Preb,1,10500199
Tcf3,Preb,1,10500199;11994467
Pbx1,Wnt16,1,10500199
Tcf3,Wnt16,1,10500199
Myc,Ache,1,10500217;18413597
Myc,Kat2b,1,10500217;11983916
Sp1,Itgav,1,10504395;12136940;23319049;23345412
Sp3,Itgav,1,10504395;12136940
Nr0b1,Abcd2,1,10504404
Nr0b1,Abcd3,1,10504404
E2f1,Ccne1,1,10504464;1059478;10594784;11526499;12565705;14618416;17471231;19564413;20220142;20410059;21454377;21653699;22185819;23518498;23543735;24335704;7623816;8618861;8649818;8668155
E2f1,Ccnd1,1,10504464;10594784;17998543;19876926;20220142;20655656;22768064;23078099;23543735;7929342;8137237;8618861;9584162
Tp53,Yy1,1,10787423
Yy1,Tp53,1,10505791;10634504;10787423;18391986;8816507
Irf1,Ciita,1,10202014;10505975;10557076;10956389;11464288;11675374;11981818;12052885;12493643;14530341;17346795;17395590;9916712
Ciita,Irf1,1,12052885;15950283
Cdx2,Gcg,1,10506141;11773447;14765989;16574312;17263687;17901057;9933606
Pou3f4,Gcg,1,10506141;11834725;17901057;21824252
Sp1,Mmp2,1,10506168;15317818;16453304;16575904;17258390;19061309;19126647;19853299;21045016;21469139;21520171
Sp3,Mmp2,1,10506168;15317818
Tfap2a,Mmp2,1,10506168;10589685;11739124;11773059;15317818;17666398;18980971;19853299;19939245;20145123
Cebpg,Mmp2,1,10506168;19939245
Etv4,Mmp2,1,10506168;15317818;17258390
Elf3,Folh1,1,10506207
Elf3,Klk1b26,1,10506207
Elf3,Klk1b8,1,10506207
Elf3,Klk1b9,1,10506207
Elf3,Klk1b1,1,10506207
Elf3,Klk1b11,1,10506207
Elf3,Klk1b27,1,10506207
Elf3,Klk1b22,1,10506207
Elf3,Klk1b21,1,10506207
Elf3,Klk1b5,1,10506207
Elf3,Klk1b16,1,10506207
Elf3,Klk1b3,1,10506207
Elf3,Klk1b24,1,10506207
Elf3,Klk1b4,1,10506207
Elf3,Klk1,1,10506207
Atf2,Cdkn1a,1,10506225;23800081
Junb,Cdkn1a,1,10506225
Jund,Cdkn1a,1,10506225;12198703
Jun,Pdgfb,1,10506481;9488709
Myc,Ccnd2,1,10508165;10956386;11060032;11264343;11511535;14519204;14660677;15988028;20857481;21790895;7526316;9339900
Max,Ccnd2,1,10508165;11511535
Myc,Max,1,10508165;1406956;15665468;17341548;22384171;8385351;8521822;8649388
Max,Myc,-1,7700652;9797456
Myc,Mxd1,1,10508165;8224841;8649388
Tcf12,Cd4,1,10508188;15189737;8355705
Zeb1,Cd4,-1,10508188
Egr1,Fas,-1,10508276;12556466;14751836;15155664;9300687
Egr3,Faslg,1,10508276;10556800;10755616;11254710;11397794;11745351;11909874;15173177;9632757;9915863
Fli1,Tgfbr2,1,10508522;10749119;14534527
Cebpb,S100a8,1,10510303;22728165
Cebpg,S100a8,1,10510303
Sp1,Bax,1,10510469;11278953;11748232
Ets1,Ddit3,1,10510472
Fli1,Ddit3,1,10510472
Tp53,Ets1,-1,14586398
Ets1,Tp53,1,10510472;12145208;19022222;8649821
Ets2,Tp53,1,10510472;8649821
Ddit3,Gadd45a,1,10510472;10912181
Sp1,Pou5f1,1,10512200;16149048;8289783
Stat5a,Fos,1,10512880;9885561
Egr1,Nab2,1,10514413;16260776;17631285;17967787;19374880;19888474;20506119;20690147;21559360;8668170;9774344
Nab2,Egr1,-1,20506119
Tp53,Cdk1,-1,10514438;10825186;11032828;11313928;11593387;12874009;12889596;16807237;17942917;19067706;19472317;19861536;20395210;8270002;9275177
Tp53,Stmn1,-1,10514438;11072234;16909102;19786090;23584479;23610071;7823921;9649502
Nr1h4,Fabp6,1,10334992;10514450;10753890;12479580;15935148
Tp53,Cdkn1b,1,10516009;14984207;15145945;15988033;19235838;19427386;21478095
Nr1i3,Sgip1,1,10516715
Tp53,Sgip1,1,10516715
Nr3c1,Crh,-1,10517666;15112058;18006628;22039522;22232675;23671328;24065704;24346134;8491092;9099914
Hnf1b,Hnf4a,1,10518495;11585914;16479257;8290348
Hnf4a,Hnf1b,1,15226394;8622679;9249021
Nr3c1,Serpine1,-1,10518526;12902338;16423881
Tp53,Map4,-1,10446979;10521394;10990460;19411072;8956998
Deaf1,Hnrnpa2b1,-1,10521432
Esr1,Hras,1,10521493
Tbpl1,Gtf2b,1,10523649
Tbpl1,Gtf2a1,1,10523649;12682363;15767669;24835508
Myod1,Cdkn1c,1,10523650;16405903;18513743;22740650;25005473
Myod1,Ccne1,1,10523650;11570822
Myod1,Cdk2,1,10523650
Relb,Il1a,1,10523657
Relb,Il1b,1,10523657;19122653;19690169;21078560
Relb,Tnf,1,10523657;15470505;16997280;17082635;17646159;19158276;20686703;21245135;21562054;7624137;9164938
Mef2c,Jun,1,10523670;10849446;11158308;12054430;7760790;9069290;9252389
Spi1,Ets2,1,10523830
Tfap2a,Cdh1,1,10523846;12391156;12903198;17224907;21377456;9328434;9632747
Myc,Cdh1,1,10523846;19176757;23364919;9632747
Myb,Tom1,1,10524199;9135152
Pax5,Pax5,1,10524622;11779502;17682124;18172866;19237549;20208555;21156323;8650231;9722295
Pou4f2,Pax6,1,10526314
Pou4f2,Epo,1,10526314
Tal1,Pik3c3,1,10527940
Stat6,Irf1,1,10528163;10882409
Stat6,Stat6,1,10528163;19324016;19949830;23184467;9548487
Hnf1a,Cyp27a1,1,10528998;11406622
Tp53,Ghrhr,1,10529175;11852084;24297337;24737129
Tp53,Map2k1,1,10529175;9724739
Tp53,Mapk1,1,10529175;11409876;15928193
Ppara,Ucp1,1,10529360;10873645;11050084;11875072;19194461
Pparg,Ucp1,1,10529360;11829740;11875072;12525499;12807871;23554809;32991581;8668156
Nr4a1,Mef2a,1,10933397
Mef2a,Nr4a1,1,10531067;10933397;10944115;11046135;11385620;23536182
Mef2a,Cabin1,1,10531067;10825153;10933397;11385620
Epas1,Vegfa,1,10531360;11301389;11350893;11751212;11912213;12750296;15156561;15191799;15192019;16778202;16900513;16920734;17322369;19010893;19080330;20061373;20574527;20807755;21057546;21145972;23213445;24062466;9113979;9665461;9746763
Fos,Cebpb,1,8264594
Cebpb,Fos,1,10531366;12773552;15860545;18180320;21292824
Cebpg,Fos,1,10531366;15860545
Dnmt1,Psen1,1,10533070
Cebpg,Rnase2b,1,10534126
Fos,Prkaca,1,10535756;1331087;1663213
Smarca1,Hbb-b1,1,10535918;9778250
Srebf1,Gck,1,10535992;11855808;15123649;16380121;16834571;17686483;19366697
Nfatc4,Gsk3b,1,10537109
Rara,Trh,1,10537125
Rest,Avp,-1,10537286;12220737
Atf1,Il10,1,10540320
Creb1,Il10,1,10540320;12493739;17202341;18263767;19564345;21986577;22116830;22140263;26408955
Rela,Adra1d,1,10541434
Spi1,Fut2,1,10542075
Ppara,Il6,-1,10542237;11007963;11459775;15001458;16778793;18325987;19039651;24242046
Rela,Il6,1,10329846;10373597;10469356;10542237;10569191;10823821;10903137;10963848;10975857;11007957;11058167;11120852;11327783;11459775;11504280;11564778;11975924;12058956;12176740;12177065;12200447;12359431;12672795;12881425;12887736;14532843;14976218;15013753;15158360;15226358;15517885;15756023;16043358;16112536;16166627;16960103;16984731;17040605;17196927;17350185;17490702;17495236;17532054;17932106;17982049;18057724;18061164;18243142;18310089;18469854;18483242;18502099;18942706;18996370;19122653;19124729;19164127;19469019;19687301;19703987;19707556;19966855;20066113;20100571;20221401;20351184;20371366;20457835;20511231;20534538;20650996;20696864;20935672;21098092;21104991;21106671;21131967;21278793;21537341;21810609;21996739;22021035;22105366;22189669;22547075;22578249;22661093;23335080;23386688;23595969;23857586;23874122;24012417;24664372;24676671;25888873;26596471;27211851;27337441;27371733;27413250;28270510;7499267;7876168;8290595;8679226;8752656;8824277;9182853;9199307;9516466;9523851
Kat7,Il6,1,10542243;11923478;24513290
Cebpg,Alb,1,10542249;1592265;16608438;1840554;19087426;2227417;2357969;2558052;7619063;8102976
Tp53,Alb,1,10542249
Sp1,Nfya,1,10542271;10748033;12153142;12502798;12697323;16442295;19564345;22154511;23160377;9516473
Spi1,Itgb2,1,10542290;16735694;7559529;7846055;8670251;9295016;9582348
Hnf1a,Alb,1,10542313;11939905;12760745;1321810;14561216;1487491;15598887;1685988;1942067;22196858;2736625;7519016;8102976;8262148;8288579;8443410;8626635
Foxm1,Alb,1,10542313;1990282
Cebpb,Cebpb,1,10542314;21982742
Myb,Cebpb,1,10542314;15195136
Cebpb,Ebp,1,10542314;11711437;15299028;18396140;18622014;18694725;18761321;19164449;19324970;19663997;19782405;21268070;21883217;24216764
Myb,Ebp,1,10542314
Cebpb,Cebpa,1,10603305;10854425;15110775;15158467;15509789;16431920;17301242;17646392;18622014;19581927;19663997;20179325;24216764;7862113;9990015
Cebpa,Cebpb,1,10542314;20659895;24216764
Arhgap35,Fos,1,10544264
Myog,Myf5,1,10934019
Myf5,Myog,1,10548518;11784084;1315706;1341049;14724123
Myog,Mef2a,1,7852366
Mef2a,Myog,1,10548518;10973962;12694204;1324403;17940050;20498275;7601128;8006037;8264638
Myod1,Myog,1,10548518;11279181;11784084;12101422;12578986;12694204;12782625;15149596;15798192;1581290;15870273;16847330;16858404;16901893;1718977;17562853;17932502;17940050;18676376;19723804;20026657;20466877;21543328;21892963;22710712;22773876;24550007;2560751;7852366;8119948
Myog,Myod1,1,12578986;14732408;1718977;20026657;20978076;22814845;2560751;7852366
Usf1,Ccnb1,1,10548544;7739559
Hnf4a,Wnt2,1,10549281;15695365;16809766;19149881;20019092;22517624;22767186
Ssrp1,Spp2,1,10550664
Myc,Ar,1,10551783;12742828;18623111;21541973
Ar,Myc,1,12799378;20610535;24512546
Srebf1,Cyp51a1,1,10551787;12145339;16123160
Foxk1,Scn5a,1,10551797
Sp1,Scn5a,1,10551797;1899487
Creb1,Tnf,1,10551799;20619468;24038085;9813054
Srebf1,Rps14,1,10551830;11448969
Sp1,F3,1,10551840;10707957;12483323;15636197;7615158;7876129;8576248;9081693;9198250
Tfap2a,Recql4,1,10552928
Ebf1,Blk,1,10553071;14594818
Ebf1,Ebf1,1,10553071;17101802;18466304
Nfkb1,Icam1,1,10092659;10553096;10738944;10837365;10926553;10946302;11198351;11401521;11463837;11877286;12490396;12691701;15480988;15800027;15843586;16105834;16317091;16385502;16453001;17121934;17855547;18285351;18928584;19074768;20103608;20173029;22001597;22708120;7957928;9056676;9188493;9192770;9733827;9888295;9916895
Nfkb1,Vcam1,1,10329958;10496926;10553096;10833420;10946302;11359843;16249517;16271621;16317091;16385502;16453001;19281832;19422386;20966071;22708120;7536741;7537851
Rela,Icam1,1,10092659;10228026;10553096;10738944;10837365;10926553;10946302;11401521;11463837;11877286;12490396;12691701;15800027;15843586;15946255;15996193;16105834;16317091;16385502;16453001;16455661;16778171;17121934;17537731;17855547;18285351;18928584;19074768;19278584;19351910;20103608;20173029;20823682;22001597;22337883;22345292;22708120;22901690;23238746;7659084;7822333;7957928;9056676;9188493;9192770;9733827;9831247;9888295;9916895
